Treatment assignment,Training sample size,Treatment imbalance,Spatial overlap of test and training data,Meta-learner,Covariate omission,Targeting error mean,Targeting error SD,Targeting error 95% CI,Targeting imprecision mean,Targeting imprecision SD,Targeting imprecision 95% CI,Ranking error mean,Ranking error SD,Ranking error 95% CI,Estimation error mean,Estimation error SD,Estimation error 95% CI,n Virtual studies
Random,250,0.3,Random,S-learner,No omission,0.583,0.224,"[0.520, 0.647]",0.526,0.083,"[0.503, 0.550]",0.393,0.062,"[0.375, 0.411]",7.677,0.369,"[7.572, 7.782]",50
Random,250,0.3,Random,T-learner,No omission,0.611,0.206,"[0.552, 0.669]",0.441,0.093,"[0.415, 0.467]",0.344,0.060,"[0.327, 0.361]",5.529,0.500,"[5.387, 5.671]",50
Random,250,0.3,Random,X-learner,No omission,0.556,0.219,"[0.494, 0.618]",0.478,0.086,"[0.454, 0.503]",0.338,0.074,"[0.317, 0.359]",5.618,0.326,"[5.526, 5.711]",50
Random,250,0.3,Random,DR-learner,No omission,0.570,0.232,"[0.504, 0.636]",0.404,0.067,"[0.385, 0.423]",0.289,0.042,"[0.278, 0.301]",5.286,0.548,"[5.130, 5.442]",50
Random,250,0.3,Core,S-learner,No omission,0.703,0.130,"[0.666, 0.740]",0.599,0.063,"[0.581, 0.617]",0.398,0.074,"[0.377, 0.419]",4.610,0.313,"[4.521, 4.699]",50
Random,250,0.3,Core,T-learner,No omission,0.570,0.272,"[0.493, 0.648]",0.568,0.074,"[0.547, 0.589]",0.457,0.076,"[0.436, 0.479]",4.564,0.747,"[4.352, 4.777]",50
Random,250,0.3,Core,X-learner,No omission,0.541,0.269,"[0.465, 0.618]",0.505,0.097,"[0.478, 0.533]",0.340,0.090,"[0.314, 0.365]",3.789,0.342,"[3.692, 3.887]",50
Random,250,0.3,Core,DR-learner,No omission,0.557,0.234,"[0.491, 0.624]",0.535,0.070,"[0.515, 0.554]",0.389,0.075,"[0.368, 0.410]",4.176,0.565,"[4.015, 4.336]",50
Random,250,0.3,Edge,S-learner,No omission,0.741,0.114,"[0.709, 0.774]",0.605,0.103,"[0.576, 0.635]",0.498,0.164,"[0.451, 0.544]",6.987,0.551,"[6.830, 7.143]",50
Random,250,0.3,Edge,T-learner,No omission,0.576,0.208,"[0.517, 0.635]",0.509,0.084,"[0.485, 0.533]",0.357,0.108,"[0.326, 0.388]",4.337,0.806,"[4.108, 4.566]",50
Random,250,0.3,Edge,X-learner,No omission,0.568,0.251,"[0.496, 0.639]",0.490,0.104,"[0.460, 0.520]",0.359,0.138,"[0.320, 0.398]",3.893,0.424,"[3.773, 4.014]",50
Random,250,0.3,Edge,DR-learner,No omission,0.502,0.250,"[0.431, 0.573]",0.470,0.103,"[0.441, 0.499]",0.308,0.120,"[0.274, 0.342]",3.925,0.750,"[3.712, 4.138]",50
Random,250,0.3,Random,S-learner,Omit covariate,0.569,0.247,"[0.499, 0.639]",0.516,0.098,"[0.489, 0.544]",0.388,0.083,"[0.365, 0.412]",7.711,0.429,"[7.590, 7.833]",50
Random,250,0.3,Random,T-learner,Omit covariate,0.583,0.257,"[0.510, 0.656]",0.465,0.087,"[0.441, 0.490]",0.393,0.074,"[0.372, 0.414]",5.730,0.515,"[5.583, 5.876]",50
Random,250,0.3,Random,X-learner,Omit covariate,0.512,0.271,"[0.435, 0.589]",0.502,0.089,"[0.476, 0.527]",0.382,0.082,"[0.358, 0.405]",5.698,0.342,"[5.601, 5.795]",50
Random,250,0.3,Random,DR-learner,Omit covariate,0.560,0.257,"[0.487, 0.634]",0.405,0.053,"[0.389, 0.420]",0.308,0.057,"[0.291, 0.324]",5.318,0.513,"[5.172, 5.463]",50
Random,250,0.3,Core,S-learner,Omit covariate,0.700,0.184,"[0.647, 0.752]",0.576,0.096,"[0.549, 0.604]",0.404,0.082,"[0.380, 0.427]",4.557,0.299,"[4.472, 4.642]",50
Random,250,0.3,Core,T-learner,Omit covariate,0.522,0.295,"[0.438, 0.606]",0.583,0.078,"[0.561, 0.605]",0.476,0.085,"[0.452, 0.500]",4.536,0.628,"[4.357, 4.714]",50
Random,250,0.3,Core,X-learner,Omit covariate,0.575,0.299,"[0.490, 0.660]",0.541,0.081,"[0.518, 0.564]",0.356,0.071,"[0.336, 0.376]",3.795,0.270,"[3.718, 3.872]",50
Random,250,0.3,Core,DR-learner,Omit covariate,0.562,0.273,"[0.484, 0.639]",0.560,0.081,"[0.537, 0.583]",0.407,0.091,"[0.381, 0.433]",4.495,0.834,"[4.258, 4.732]",50
Random,250,0.3,Edge,S-learner,Omit covariate,0.775,0.129,"[0.738, 0.811]",0.589,0.113,"[0.557, 0.621]",0.472,0.197,"[0.416, 0.528]",7.045,0.653,"[6.859, 7.230]",50
Random,250,0.3,Edge,T-learner,Omit covariate,0.698,0.148,"[0.656, 0.740]",0.546,0.105,"[0.517, 0.576]",0.431,0.127,"[0.395, 0.468]",4.535,0.666,"[4.345, 4.724]",50
Random,250,0.3,Edge,X-learner,Omit covariate,0.652,0.192,"[0.598, 0.707]",0.533,0.071,"[0.513, 0.553]",0.407,0.101,"[0.378, 0.436]",4.050,0.385,"[3.940, 4.159]",50
Random,250,0.3,Edge,DR-learner,Omit covariate,0.559,0.255,"[0.487, 0.631]",0.466,0.098,"[0.439, 0.494]",0.298,0.098,"[0.270, 0.326]",3.908,0.672,"[3.717, 4.099]",50
Random,500,0.3,Random,S-learner,No omission,0.506,0.200,"[0.449, 0.563]",0.504,0.069,"[0.484, 0.523]",0.315,0.054,"[0.299, 0.330]",7.160,0.297,"[7.075, 7.245]",50
Random,500,0.3,Random,T-learner,No omission,0.568,0.253,"[0.497, 0.640]",0.392,0.061,"[0.375, 0.409]",0.269,0.040,"[0.258, 0.281]",5.062,0.396,"[4.950, 5.175]",50
Random,500,0.3,Random,X-learner,No omission,0.517,0.214,"[0.456, 0.578]",0.405,0.052,"[0.390, 0.419]",0.254,0.031,"[0.245, 0.263]",5.203,0.207,"[5.145, 5.262]",50
